21,Sean Farrell,Left,,"16
                                                                                           
														                            
C",Nick Abruzzese,Left,,19,Matthew Coronato,Right
21,4,Left,,"16
                                                                                           
														                            
C",,Left,,19,4,Right
,,,,,,,,,,
8,Alex Gaffney,Left,,17,John Farinacci,Right,,18,Alex Laferriere,Right
8,3,Left,,17,8,Right,,18,10,Right
,,,,,,,,,,
10,Jack Donato,Left,,59,Zakary Karpa,Left,,"47
                                                                                           
														                            
C",Casey Dornbach,Right
10,-3,Left,,59,2,Left,,"47
                                                                                           
														                            
C",,Right
,,,,,,,,,,
7,R.J. Murphy,Left,,23,Baker Shore,Right,,27,Austin Wong,Right
7,-7,Left,,23,-2,Right,,27,5,Right
,,,,,,,,,,
3,Henry Thrun,Left,,2,Ian Moore,Right,,44,Mitchell Gibson,Left
3,0,Left,,2,9,Right,,44,0,Left
,,,,,,,,,,
46,Marshall Rifai,Left,,22,Ryan Siedem,Right,,35,Derek Mullahy,Left
46,14,Left,,22,7,Right,,35,0,Left
,,,,,,,,,,
33,Kyle Aucoin,Left,,24,Jack Bar,Right,,6,,Right
33,0,Left,,24,,Right,,6,0,Right
,,,,,,,,,,
6,,Right,,6,John Fusco,Right,,6,,Right
6,0,Right,,6,,Right,,6,0,Right
